"file","title","status","referenceCenter","referenceIdiom","harmonyCount","signalScore","iiVCells","appliedDominants","primaryDominants","tritoneSubstitutions","diminishedChords","resolvedDiminished","modalBorrowingColors","minorPlagalCadences","tonicMajorSixths","slashChordDensity","examples","notes"
"imported-real-book/b-019-Birk's works.musicxml","Birk's works","ok","C major","major-functional","54","18.84","2","1","3","3","7","7","0","0","3","0.02","C#° / D#° / E7(#5) / F6 / F#° / G7 / F6 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; cor de tonica 6/6-9"
"imported-real-book/b-020-Birth of the blues.musicxml","Birth of the blues","ok","Bb major","minor-functional","32","13.18","0","5","4","2","1","0","1","1","0","0.09","Bbm6 / Ebm6 / Bbm6 / F7(b9) / F7 / Gb7 / F7 / Bbm6","dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"imported-real-book/b-021-Black and tan fantasy.musicxml","Black and tan fantasy","ok","Eb minor","minor-functional","52","20.7","1","6","2","9","0","0","0","0","0","0","Db7(#9) / D7(#9) / Db7(#9) / D7(#9) / Db7(#9) / D7(#9) / Db7(#9) / G13","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-022-Black coffe.musicxml","Black coffe","ok","Ab minor","minor-functional","27","0.44","0","0","0","0","0","0","0","0","0","0.22","Bbm7/Ab / Bbm7/Ab / Bbm7/Ab / G#m7/F# / G#m7/F# / G#m7/F#","leitura harmonica inferida: minor-functional"
"imported-real-book/b-024-Black nile.musicxml","Black nile","ok","A minor","minor-functional","49","21.38","10","3","8","0","2","1","0","0","0","0.04","E7(b9) / E7(b9) / G7 / C#° / G7 / E7(b9) / E7(b9) / E7(b9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/b-026-Black Orpheus.musicxml","Black Orpheus","ok","Eb major","blues","66","19.14","4","5","4","0","5","5","0","0","1","0.02","Edim7 / Bb7 / Edim7 / Bb7 / Bb7 / Ebsus4(7) / Eb7 / Bb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/b-027-Blame it on my youth.musicxml","Blame it on my youth","ok","G minor","minor-functional","23","0.08","0","0","0","0","0","0","0","0","0","0.04","C7/Bb / C7 / C7","leitura harmonica inferida: minor-functional"
"imported-real-book/b-028-Blessed relief.musicxml","Blessed relief","ok","C minor","minor-functional","10","2.2","0","2","0","0","0","0","0","0","0","0","Bb7 / Eb7 / Bb7 / F7 / Bb7 / F7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-029-Bloomdido.musicxml","Bloomdido","ok","C minor","minor-functional","13","5.9","3","1","2","0","0","0","0","0","0","0","Cm6 / G7alt / Cm6 / Ab13 / G7alt / Cm6 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-030-Blue bossa.musicxml","Blue bossa","ok","D major","blues","22","7.9","0","0","2","2","0","0","3","0","2","0","D6 / C9 / E13 / C13 / Asus4(7,9,11,13) / A13 / D6 / C9","mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/b-031-Blue Daniel.musicxml","Blue Daniel","ok","D minor","minor-functional","16","6.5","1","2","3","1","0","0","0","0","0","0","A7(b13) / Db7 / F7(b9) / A7(b13) / E7(#9) / A7(#9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-032-Blue in green.musicxml","Blue in green","ok","Bb major","blues","13","4","0","2","3","0","1","0","0","0","0","0","Bb7 / Eb7 / Bb7 / F7 / Bb7 / Eb7 / E° / Bb7","dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/b-033-Blue Monk.musicxml","Blue Monk","ok","Eb major","blues","87","34.22","10","6","10","5","0","0","1","0","5","0.01","Bb7 / Bb7 / C7(#9) / B9 / Bbsus4(7,9) / Eb6 / A7(b5) / Gb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/b-034-Blue moon.musicxml","Blue moon","ok","F major","blues","43","18.24","7","2","9","0","1","0","0","1","2","0.02","F6 / C7 / C7 / F7 / Bbm6 / F/A / Abdim / C7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/b-035-Blue room.musicxml","Blue room","ok","C minor","minor-functional","22","1.1","0","1","0","0","0","0","0","0","0","0","Bb7 / Bb7 / Eb7 / Bb7 / D7 / Bb7 / Bb7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-036-Blue trane.musicxml","Blue trane","ok","Eb major","blues","39","12.9","0","6","4","1","0","0","2","0","1","0","Eb7 / Bb7 / Eb6 / Eb7 / Bb7 / Db7 / Ab6 / Ab6","dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/b-037-Blueberry hill.musicxml","Blueberry hill","ok","F major","blues","19","7.4","2","3","1","0","0","0","1","0","0","0","A7(b9) / G7 / F7 / Bb7 / Eb7 / D7 / Db7 / C7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/b-038-Blues for Alice.musicxml","Blues for Alice","ok","G minor","minor-functional","20","11.1","4","4","1","1","0","0","0","0","0","0","D7 / C7 / Bb7 / Ab7 / Gb7 / F7 / Db7 / F7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-039-Bluesette.musicxml","Bluesette","ok","Db major","blues","55","28.3","8","8","4","4","3","0","1","0","3","0","Bb7 / Ab7 / Gb9 / Edim7 / F7(b9) / Ab7 / Db6 / Bb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
