"file","sourceId","title","status","measures","noteCount","harmonyCount","sectionCount","keySignature","windowMeasures","proposalCount","referenceOverlapCount","selectedCenter","selectedCenterSource","primaryProposalName","primaryChords","parseError"
"f-005-Falling grace.musicxml","f","Falling grace","harmonized","33","140","42","0","Db","1 2 3 4 6 7 8 9","5","8","Db major","reference","Estratégia — Centro de referência","Ab7 | Db | Ab7/C | Ab7 | Db | Ab7/C | Db | Db",""
"f-006-Far Wes.musicxml","f","Far Wes","harmonized","41","153","57","3","Bb","1 2 3 4 5 6 7 8","6","7","G minor","reference","Estratégia — Centro de referência","Gm | Gm7 | Gm7 | Gm7 | Gm7 | Gm7 | Gm7 | Gm",""
"f-007-Favela.musicxml","f","Favela","harmonized","24","85","33","0","Bb","1 2 3 4 5 6 7 8","7","8","G minor","reference","Estratégia — Tonal Clássico","Gmaj9 / Gm7/C / D7 / Gmaj7",""
"f-008-Fee-fi-fo-fum.musicxml","f","Fee-fi-fo-fum","harmonized","17","77","20","0","Eb","1 2 3 4 5 6 7 8","6","8","Eb major","reference","Estratégia — Tonal Clássico","Ebmaj7 / Abmaj7 / Ebmaj7/Bb / Ebmaj7",""
"f-009-Feel like making love.musicxml","f","Feel like making love","harmonized","56","131","38","0","F","1 2 3 4 5 6 7 8","5","4","G minor","reference","Estratégia — Centro de referência","F7 | Gm | Cm7 | F7 | Gm7 | F7 | Gm | Gm6",""
"f-010-Feels so good.musicxml","f","Feels so good","harmonized","66","179","80","0","Eb","1 2 3 4 5 6 7 8","7","7","G minor","reference","Estratégia — Tonal Clássico","Gmaj7 / Gm7/C / Gmaj7/D / Gmaj7",""
"f-011-Felicidade.musicxml","f","Felicidade","harmonized","21","93","17","0","Ab","1 2 3 4 5 6 7 8","6","7","F minor","reference","Estratégia — Cromático Linear","Fmaj7 / Adim7/Gb / G7 / C7",""
"f-013-Fever.musicxml","f","Fever","harmonized","54","267","52","4","Bb","1 2 3 4 5 6 7 8","8","7","Bb major","melody","Estratégia — Cromático Linear","Bbdim7 / Bbdim7/B / C7 / G#dim7/F",""
"f-014-Filthy McNasty.musicxml","f","Filthy McNasty","harmonized","46","164","28","3","C","1 2 3 4 5 6 7 8","7","5","Db major","reference","Estratégia — Tonal Clássico","Db6 / Db7(b9)/Gb / Ab13 / Db6",""
"f-015-Firm roots.musicxml","f","Firm roots","harmonized","27","119","43","0","C","1 2 3 4 5 6 7 8","14","7","C major","reference","Estratégia — Tonal Clássico","Cmaj7 / G7/F / Cmaj7/G / Cmaj7",""
"f-017-500 miles high.musicxml","f","500 miles high","harmonized","12","50","9","0","Ab","1 2 3 4 5 6 7 8","9","4","Bb minor","reference","Estratégia — Contraponto de Baixo","Bbmaj7 / Ebmaj7 / C7/E / F7 / Bbmaj7",""
"f-018-Five spot after dark.musicxml","f","Five spot after dark","harmonized","27","73","40","3","F","1 2 3 4 5 6 7 8","5","7","F major","reference","Estratégia — Centro de referência","F | F | C7/E | F | C7/E | F | Gm7 | F",""
"f-019-Flamingo.musicxml","f","Flamingo","harmonized","28","75","37","1","C","1 2 3 4 5 6 7 8","7","8","A minor","reference","Estratégia — Contraponto de Baixo","Am7 / Am7/D / B7/D# / E7 / Amaj7",""
"f-020-Fly me to the moon.musicxml","f","Fly me to the moon","harmonized","29","168","49","3","Eb","1 2 3 4 5 6 7 8","9","8","Eb major","reference","Estratégia — Tonal Clássico","Ebmaj7 / Abmaj7 / Bb13 / Ebmaj7",""
"f-021-Flying home.musicxml","f","Flying home","harmonized","32","99","35","0","C","1 2 3 4 5 6 7 8","6","8","C major","reference","Estratégia — Contraponto de Baixo","C6 / Dm7/F / D7/F# / G7 / Cmaj7",""
"f-023-Footprints.musicxml","f","Footprints","harmonized","25","72","42","0","","1 2 3 4 5 6 7 8","5","8","Eb major","reference","Estratégia — Tonal Clássico","Ebmaj7 / Fm7/Ab / Bb7 / Abmaj7/Eb",""
"f-024-For all we know.musicxml","f","For all we know","harmonized","35","196","61","3","Db","1 2 3 4 5 6 7 8","8","7","Db major","reference","Estratégia — Tonal Clássico","Dbmaj7 / Gbmaj7 / Ab7 / Dbmaj7",""
"f-025-For regulars only.musicxml","f","For regulars only","harmonized","35","121","67","0","F","1 2 3 4 5 6 7 8","5","7","F major","reference","Estratégia — Tonal Clássico","F6 / Bbmaj7 / C13 / Fmaj7",""
"f-026-For sentimentals reasons.musicxml","f","For sentimentals reasons","harmonized","33","94","23","0","C","1 2 3 4 5 6 7 8","4","4","Bb major","reference","Estratégia — Centro de referência","F7 | Bb | Bb | Bb | Gm7 | Bb | Gm7 | Bb",""
"f-028-Four.musicxml","f","Four","harmonized","26","155","40","3","Ab","1 2 3 4 5 6 7 8","8","8","Ab major","reference","Estratégia — Tonal Clássico","Abmaj7 / Dbmaj7 / Abmaj7/Eb / Ab6",""
"f-030-Four on six.musicxml","f","Four on six","harmonized","16","90","9","0","Eb","1 2 3 4 5 6 7 8","11","3","Eb major","melody","Estratégia — Contraponto de Baixo","Ebmaj7 / Abmaj7 / F7/A / Bb7 / Ebmaj9",""
"f-032-Freedom jazz dance.musicxml","f","Freedom jazz dance","harmonized","13","70","22","0","Ab","1 2 3 4 5 6 7 8","9","7","F minor","reference","Estratégia — Cromático Linear","F7 / Em7b5/Gb / G#dim7/G / E7/C",""
"f-033-Freight trane.musicxml","f","Freight trane","harmonized","29","168","51","0","C","1 2 3 4 5 6 7 8","9","8","C major","melody","Estratégia — Vamp dominante","C13 | C13 | Bb13 | C13 | Bb13 | C13sus4 / C13 | Bb13sus4 / Bb13 | C13sus4 / C13",""
"f-034-Friday night at the Cadillac club.musicxml","f","Friday night at the Cadillac club","harmonized","26","113","33","0","Eb","1 2 3 4 5 6 7 8","7","7","F minor","reference","Estratégia — Tonal Clássico","Cm7/F / Gm7/Bb / F6/C / Bbmaj7/F",""
"f-035-Fried bananas.musicxml","f","Fried bananas","harmonized","27","186","36","1","C","1 2 3 4 5 6 7 8","7","4","F major","reference","Estratégia — Tonal Clássico","Fmaj7 / Bbmaj7 / C13 / Fmaj7",""
"f-036-Friends and strangers.musicxml","f","Friends and strangers","harmonized","43","279","59","1","C","1 2 3 4 5 6 7 8","11","5","E minor","reference","Estratégia — Centro de referência","Em7 | Am7 | Em7/G | Am7 | Em7/G | D7/F# | Am7/G | Em6",""
