"file","title","referenceChordCount","referenceMeasureCount","referenceDensity","referenceDenseMeasures","generatedIdeaCount","generatedDenseIdeaCount","maximumGeneratedDensity","status"
"imported-real-book/e-007-Eclypso.musicxml","Eclypso","24","23","1.04","1","10","3","2.25","referencia-densa-coberta"
"imported-real-book/e-008-Eighty one.musicxml","Eighty one","16","12","1.33","4","3","0","1","lacuna-de-densidade"
"imported-real-book/e-009-El gaucho.musicxml","El gaucho","45","40","1.13","5","3","1","1.13","referencia-densa-coberta"
"imported-real-book/e-010-Emily.musicxml","Emily","56","33","1.7","23","5","0","1","lacuna-de-densidade"
"imported-real-book/e-011-End of a love affair.musicxml","End of a love affair","59","34","1.74","25","2","0","1","lacuna-de-densidade"
"imported-real-book/e-013-Equinox.musicxml","Equinox","40","25","1.6","15","4","1","1.57","referencia-densa-coberta"
"imported-real-book/e-014-Eronel.musicxml","Eronel","38","38","1","0","7","1","1.2","referencia-contida"
"imported-real-book/e-015-Estaté.musicxml","Estaté","34","22","1.55","11","4","1","1.55","referencia-densa-coberta"
"imported-real-book/e-016-Everybody loves my baby.musicxml","Everybody loves my baby","59","26","2.27","22","2","1","2.27","referencia-densa-coberta"
"imported-real-book/e-018-Everything's coming up roses.musicxml","Everything's coming up roses","34","24","1.42","6","3","1","1.42","referencia-densa-coberta"
"imported-real-book/e-019-Evidence.musicxml","Evidence","37","26","1.42","11","8","1","1.3","referencia-densa-coberta"
"imported-real-book/e-020-Exactly like you.musicxml","Exactly like you","16","9","1.78","3","1","0","1","lacuna-de-densidade"
"imported-real-book/f-004-Fair weather.musicxml","Fair weather","30","25","1.2","5","8","0","1","lacuna-de-densidade"
"imported-real-book/f-005-Falling grace.musicxml","Falling grace","42","28","1.5","14","2","0","1","lacuna-de-densidade"
"imported-real-book/f-006-Far Wes.musicxml","Far Wes","57","35","1.63","20","6","1","1.63","referencia-densa-coberta"
"imported-real-book/f-007-Favela.musicxml","Favela","33","19","1.74","14","6","0","1","lacuna-de-densidade"
"imported-real-book/f-008-Fee-fi-fo-fum.musicxml","Fee-fi-fo-fum","20","15","1.33","3","4","1","1.33","referencia-densa-coberta"
"imported-real-book/f-009-Feel like making love.musicxml","Feel like making love","38","36","1.06","2","3","1","1.06","referencia-densa-coberta"
"imported-real-book/f-010-Feels so good.musicxml","Feels so good","80","54","1.48","22","5","1","1.48","referencia-densa-coberta"
"imported-real-book/f-011-Felicidade.musicxml","Felicidade","17","16","1.06","1","3","0","1","lacuna-de-densidade"
"imported-real-book/f-013-Fever.musicxml","Fever","52","32","1.63","13","3","0","1","lacuna-de-densidade"
"imported-real-book/f-014-Filthy McNasty.musicxml","Filthy McNasty","28","28","1","0","5","0","1","referencia-contida"
"imported-real-book/f-015-Firm roots.musicxml","Firm roots","43","26","1.65","17","9","4","1.29","referencia-densa-coberta"
"imported-real-book/f-017-500 miles high.musicxml","500 miles high","9","8","1.13","1","10","3","1.38","referencia-densa-coberta"
"imported-real-book/f-018-Five spot after dark.musicxml","Five spot after dark","40","26","1.54","13","4","2","1.54","referencia-densa-coberta"
"imported-real-book/f-019-Flamingo.musicxml","Flamingo","37","27","1.37","8","5","1","1.37","referencia-densa-coberta"
"imported-real-book/f-020-Fly me to the moon.musicxml","Fly me to the moon","49","26","1.88","16","6","0","1","lacuna-de-densidade"
"imported-real-book/f-021-Flying home.musicxml","Flying home","35","32","1.09","3","4","1","1.09","referencia-densa-coberta"
"imported-real-book/f-023-Footprints.musicxml","Footprints","42","25","1.68","12","5","1","1.68","referencia-densa-coberta"
"imported-real-book/f-024-For all we know.musicxml","For all we know","61","34","1.79","26","5","0","1","lacuna-de-densidade"
"imported-real-book/f-025-For regulars only.musicxml","For regulars only","67","34","1.97","30","8","2","1.97","referencia-densa-coberta"
"imported-real-book/f-026-For sentimentals reasons.musicxml","For sentimentals reasons","23","22","1.05","1","2","0","1","lacuna-de-densidade"
"imported-real-book/f-028-Four.musicxml","Four","40","25","1.6","14","3","0","1","lacuna-de-densidade"
"imported-real-book/f-030-Four on six.musicxml","Four on six","9","9","1","0","6","1","1.4","referencia-contida"
"imported-real-book/f-032-Freedom jazz dance.musicxml","Freedom jazz dance","22","12","1.83","8","5","0","1","lacuna-de-densidade"
"imported-real-book/f-033-Freight trane.musicxml","Freight trane","51","27","1.89","18","7","1","1.38","referencia-densa-coberta"
"imported-real-book/f-034-Friday night at the Cadillac club.musicxml","Friday night at the Cadillac club","33","25","1.32","8","4","0","1","lacuna-de-densidade"
"imported-real-book/f-035-Fried bananas.musicxml","Fried bananas","36","20","1.8","11","5","1","1.8","referencia-densa-coberta"
"imported-real-book/f-036-Friends and strangers.musicxml","Friends and strangers","59","32","1.84","17","5","0","1","lacuna-de-densidade"
