"file","title","status","referenceCenter","referenceIdiom","harmonyCount","dominantCount","simple","color","altered","highAltered","resolvedAltered","contextualAltered","unresolvedAltered","resolvedColor","unresolvedColor","subVResolutions","delayedResolutions","prolongedResolutions","deceptiveResolutions","alteredResolutionRatio","unresolvedAlteredRatio","examples","notes"
"imported-real-book/a-053-At last.musicxml","At last","ok","F major","blues","21","8","5","0","3","0","2","1","0","0","0","0","1","0","1","0.67","0","F7(#5) -> Bb7(b9) (altered) / Bb7(b9) -> Bbm7 (altered) / D7(b9) -> Gm7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual"
"imported-real-book/a-054-Au privave.musicxml","Au privave","ok","G minor","minor-functional","54","18","14","0","4","0","3","1","0","0","0","4","0","0","1","0.75","0","D7(b9) -> Gm7 (altered) / G7(b9) -> C (altered) / C7(#5) -> Gm7 (altered) / C7(b9) -> Fm (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/a-055-Autumn in New York.musicxml","Autumn in New York","ok","G minor","minor-functional","35","15","11","1","3","0","3","0","0","1","0","2","1","1","1","1","0","D7(b9) -> Gm (altered) / D7(b9) -> Gm7 (altered) / C9 -> D7/F# (color) / D7(#5) -> Gm (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-056-Autumn leaves.musicxml","Autumn leaves","ok","Bb major","major-functional","18","7","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/b-002-Baby It's Cold Outside.musicxml","Baby It's Cold Outside","ok","G minor","minor-functional","19","15","15","0","0","0","0","0","0","0","0","0","0","1","4","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/b-003-Bag's groove.musicxml","Bag's groove","ok","Bb major","major-functional","40","28","28","0","0","0","0","0","0","0","0","3","2","0","10","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/b-004-Ballin' the jack.musicxml","Ballin' the jack","ok","C major","blues","13","11","8","3","0","0","0","0","0","3","0","1","1","1","0","0","0","Eb7(#11) -> Bb7 (color) / Bb7(#11) -> Eb7 (color) / Bb7(#11) -> fim (color)","dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-005-Ba-lue Bolivar ba-lues are.musicxml","Ba-lue Bolivar ba-lues are","ok","F major","blues","13","6","5","0","1","0","1","0","0","0","0","0","1","0","0","1","0","C7(b9) -> F (altered)","dominantes alteradas com resolução local"
"imported-real-book/b-007-Basin street blues.musicxml","Basin street blues","ok","F minor","minor-functional","58","17","10","1","6","0","6","0","0","1","0","5","0","0","0","1","0","C7(b5) -> Fm (altered) / Gb9 -> Fm (color) / C7(b9) -> Fm (altered) / Bb7(#5) -> Eb (altered) / Ab7(#5) -> Db (altered) / C7(#5) -> Fm (altered) / C7(#5) -> Fm (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-008-Be bop.musicxml","Be bop","ok","D minor","minor-functional","25","14","10","1","3","0","2","1","0","1","0","3","1","0","2","0.67","0","A7(#5) -> Dm (altered) / B7(b5) -> G7(#11) (altered) / G7(#11) -> Em7(b5) (color) / B7(#5) -> Bb7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-009-Beautiful love.musicxml","Beautiful love","ok","A minor","minor-functional","32","18","18","0","0","0","0","0","0","0","0","10","0","0","3","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/b-010-Bemsha swing.musicxml","Bemsha swing","ok","D minor","minor-functional","29","10","8","2","0","0","0","0","0","2","0","2","2","0","1","0","0","Bb9 -> Em7(b5) (color) / Bb9 -> Em7(b5) (color)","dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-011-Bernie's tune.musicxml","Bernie's tune","ok","Ab major","blues","24","22","21","1","0","0","0","0","0","1","0","1","6","3","0","0","0","Eb9 -> fim (color)","dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-012-Bessie's blues.musicxml","Bessie's blues","ok","C major","major-functional","43","15","14","0","1","0","1","0","0","0","0","0","2","0","4","1","0","A7(#9) -> Dm7 (altered)","dominantes alteradas com resolução local"
"imported-real-book/b-013-Bewitched.musicxml","Bewitched","ok","G minor","minor-functional","29","20","20","0","0","0","0","0","0","0","0","1","3","0","3","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/b-014-Billie's bounce.musicxml","Billie's bounce","ok","Bb major","blues","13","7","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/b-019-Birk's works.musicxml","Birk's works","ok","C major","major-functional","54","18","16","0","2","0","0","2","0","0","0","3","2","0","3","0","0","E7(#5) -> F6 (altered) / E7(#5) -> F6 (altered)","dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/b-020-Birth of the blues.musicxml","Birth of the blues","ok","Bb major","minor-functional","32","16","14","0","2","0","1","1","0","0","0","2","2","0","1","0.5","0","F7(b9) -> F7 (altered) / G7(#5) -> C7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
